HydroUnit,CUR_RCG_M,FOR_RCG_M,SAV_RCG_M,DLTA_FOR_M,DLTA_SAV_M,DLTA_FOR_PRC,DLTA_SAV_PRC
59,8.800630627,9.096897303,7.878763289,0.296266676,-0.921867338,0.033664255,-0.104750145
60,8.496851737,8.769958343,7.992178945,0.273106607,-0.504672792,0.032142094,-0.059395269
61,6.665624081,7.096636372,6.308931083,0.431012292,-0.356692998,0.064661956,-0.053512318
62,7.867176557,8.019670047,6.880377858,0.152493491,-0.986798698,0.019383509,-0.125432382
63,7.360017231,7.523818262,6.323038393,0.163801031,-1.036978838,0.022255523,-0.140893534
64,9.366412994,9.581672737,8.563981198,0.215259742,-0.802431796,0.02298209,-0.085671195
65,9.215127639,9.263141487,8.179937843,0.048013848,-1.035189796,0.005210329,-0.112335915
66,8.096064381,8.530302633,7.428680185,0.434238252,-0.667384196,0.053635721,-0.082433163
67,9.076314675,9.128173176,8.032972736,0.051858501,-1.043341938,0.005713608,-0.114952156
68,8.714783575,8.958982854,7.959771974,0.244199279,-0.755011602,0.028021267,-0.086635726
69,7.743109771,7.763339702,7.596809719,0.020229931,-0.146300052,0.002612636,-0.018894224
70,7.897017991,8.169351968,7.04501646,0.272333976,-0.852001532,0.034485673,-0.10788902
71,7.984566611,8.07330876,7.014814209,0.088742148,-0.969752402,0.01111421,-0.121453355
72,7.839158206,8.059567701,6.922204653,0.220409495,-0.916953553,0.028116475,-0.116970921
73,8.635448929,8.761438267,7.644082119,0.125989338,-0.991366809,0.014589784,-0.114802
74,8.106354584,8.457939153,7.275262067,0.351584568,-0.831092517,0.043371477,-0.102523583
75,8.88924468,8.968924483,7.916952234,0.079679803,-0.972292446,0.008963619,-0.109378522
76,8.390629451,8.621601246,7.671929929,0.230971795,-0.718699522,0.02752735,-0.085655019
77,8.646832904,8.800405817,7.551025925,0.153572913,-1.095806978,0.017760597,-0.126729288
78,8.371167759,8.487481682,7.426934593,0.116313923,-0.944233166,0.013894587,-0.112795872
79,8.277982254,8.350725505,7.306397917,0.072743251,-0.971584337,0.008787558,-0.117369705
80,9.075761908,9.173903619,8.028909826,0.098141711,-1.046852081,0.010813606,-0.115345917
81,8.186736911,8.417133179,7.134926348,0.230396268,-1.051810564,0.028142625,-0.128477387
82,8.506892682,8.640702621,7.753414981,0.13380994,-0.7534777,0.015729591,-0.088572611
83,7.456976122,7.652288085,6.611112699,0.195311963,-0.845863423,0.026191845,-0.113432497
84,8.032278847,8.300935571,7.187749275,0.268656724,-0.844529572,0.033447136,-0.105141964
85,8.432319924,8.604119311,7.495140391,0.171799387,-0.937179533,0.020373917,-0.111141363
86,7.94841491,8.157953482,7.159326929,0.209538572,-0.789087981,0.026362309,-0.099276144
87,8.270678573,8.631122865,7.595276777,0.360444292,-0.675401795,0.043580982,-0.081662198
88,7.963957582,8.196856087,7.043126486,0.232898505,-0.920831096,0.029244066,-0.115624812
89,8.337683999,8.533197176,7.464811812,0.195513177,-0.872872187,0.023449339,-0.104690006
90,7.458873534,7.680676915,6.616089481,0.221803381,-0.842784053,0.029736847,-0.112990795
91,8.963531532,9.126202824,7.985825177,0.162671292,-0.977706355,0.018148125,-0.109076021
92,7.961148573,8.136466719,6.948928047,0.175318146,-1.012220526,0.022021715,-0.127145037
93,8.641979312,8.790416135,7.586797864,0.148436824,-1.055181448,0.017176253,-0.122099511
94,7.902259894,8.23776703,7.13175875,0.335507136,-0.770501144,0.042457112,-0.097503898
95,8.686904615,8.866876389,7.773824046,0.179971773,-0.91308057,0.020717595,-0.105110003
96,9.717513383,9.874742286,8.862760716,0.157228903,-0.854752668,0.016179952,-0.08796002
97,8.862517687,9.193543221,8.048230337,0.331025534,-0.81428735,0.037351185,-0.091879913
98,9.058171215,9.264520941,8.509290371,0.206349727,-0.548880843,0.022780506,-0.060595106
99,8.741002458,8.902913632,7.925476678,0.161911174,-0.81552578,0.018523181,-0.093298885
100,7.755940825,7.916147102,6.857867538,0.160206277,-0.898073287,0.020655944,-0.115791663
101,8.561955577,8.689813144,7.605090255,0.127857567,-0.956865321,0.01493322,-0.1117578
102,7.15794579,7.442248913,6.33209069,0.284303123,-0.8258551,0.039718535,-0.115375992
103,9.503653428,9.511233987,8.311205609,0.007580559,-1.192447819,0.000797647,-0.12547257
104,7.781405678,8.140248136,7.000718335,0.358842458,-0.780687343,0.046115377,-0.10032729
105,8.681762916,8.96181278,8.124650046,0.280049864,-0.55711287,0.032257258,-0.064170477
106,8.304963921,8.620556751,7.69309565,0.31559283,-0.611868271,0.038000506,-0.073675006
107,7.347855532,7.522809716,6.720048632,0.174954184,-0.6278069,0.023810237,-0.085440833
108,8.307439184,8.549564399,7.380903702,0.242125214,-0.926535482,0.02914559,-0.111530817
109,8.534589806,8.658414424,7.599415976,0.123824617,-0.935173831,0.014508561,-0.109574549
110,8.706127083,8.875690699,7.801906647,0.169563616,-0.904220436,0.019476354,-0.103860239
111,8.737331669,8.900221639,7.83660459,0.16288997,-0.900727079,0.018642988,-0.103089492
112,8.300793302,8.583836692,7.533132513,0.28304339,-0.767660789,0.034098354,-0.092480413
113,8.378690851,8.786810677,7.645790271,0.408119826,-0.73290058,0.048709259,-0.087471968
114,7.98977637,8.152916282,7.130300406,0.163139911,-0.859475965,0.020418583,-0.107571968
115,8.472657339,8.812107784,7.839338667,0.339450445,-0.633318671,0.040064224,-0.074748529
116,7.136307989,7.321308816,6.314507835,0.185000827,-0.821800154,0.025923885,-0.115157607
117,7.906900527,7.920361216,6.605547741,0.013460689,-1.301352786,0.001702398,-0.164584439
118,7.976194566,8.040660609,6.91083832,0.064466043,-1.065356246,0.008082306,-0.133566983
119,7.639212682,7.941689814,6.840569026,0.302477132,-0.798643656,0.039595328,-0.104545284
120,6.759435312,7.026996695,5.973627911,0.267561383,-0.785807401,0.039583393,-0.116253409
121,6.346876194,6.719373989,5.756441096,0.372497795,-0.590435098,0.058689942,-0.093027669
122,7.71572079,7.99617825,6.84890623,0.28045746,-0.86681456,0.036348835,-0.112343951
123,8.362691537,8.46819681,8.186240007,0.105505272,-0.17645153,0.012616186,-0.021099849
124,7.73040423,7.98644487,6.895496056,0.25604064,-0.834908174,0.033121249,-0.108003171
125,7.972457473,8.309480602,7.25536379,0.337023129,-0.717093683,0.042273431,-0.089946379
126,7.647048551,7.753564351,6.781376692,0.1065158,-0.865671859,0.013929008,-0.113203395
127,8.68414627,8.793156331,7.739679775,0.109010062,-0.944466494,0.012552767,-0.108757553
128,7.94101955,8.133789909,6.964123211,0.19277036,-0.976896339,0.024275266,-0.123019007
129,9.16740719,9.167457342,8.047087975,5.01514E-05,-1.120319216,5.47062E-06,-0.122206769
130,9.223183439,9.377364152,8.503723719,0.154180713,-0.71945972,0.016716648,-0.078005574
131,7.783746024,7.995049626,7.012005465,0.211303602,-0.77174056,0.027146775,-0.099147706
132,8.258188668,8.395456374,7.647220562,0.137267706,-0.610968106,0.016622011,-0.073983307
133,8.564137327,8.653008621,7.635555809,0.088871294,-0.928581518,0.010377145,-0.108426743
134,8.944038762,9.030732315,8.075384434,0.086693553,-0.868654328,0.009692887,-0.097121038
135,7.701290351,7.928291958,6.923349376,0.227001607,-0.777940975,0.029475789,-0.101014368
136,7.589813678,7.680545216,6.428061031,0.090731538,-1.161752647,0.011954383,-0.153067347
137,7.405425851,7.544877009,6.466724591,0.139451158,-0.93870126,0.018830944,-0.126758579
